% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.209597220e+02 +3.209597220e+02 +3.040197220e+02 +3.040197220e+02 -2.2508e+00 +2.7145e+00 +4.8364e+00 +9.0933e-01 -6.8377e-01 +3.5317e+00 +2.8464e-01 +2.6158e+00 +1.3258e+00 -1.1074e+00 +3.9891e+00 -1.3912e+00 -1.8941e+00 +4.9856e+00 -9.6018e-02 +4.4502e+00 +4.2603e-01 +3.9532e+00 +2.5745e+00 -1.7525e+00
2 +1.467054574e+02 +1.467054574e+02 +1.297654574e+02 +1.297654574e+02 -1.1649e+00 +3.7562e+00 +1.7408e+00 -2.3242e+00 -1.3529e+00 -1.1008e+00 -3.9472e+00 +2.5189e+00 -2.5353e+00 -3.8441e+00 +3.1309e+00 -3.3452e+00 +1.9768e+00 -3.6515e+00 +5.7909e-01 +4.8232e+00 +1.7891e+00 +3.5563e-01 +3.1955e+00 -2.8861e+00
25 +9.944453616e+01 +9.944453616e+01 +8.250453616e+01 +8.250453616e+01 +2.7527e+00 +4.5053e+00 -9.1987e-01 -2.7149e+00 -1.8854e+00 +3.7872e+00 +6.2078e-01 +4.1464e+00 -8.8869e-02 -4.2022e+00 +2.9422e+00 -4.1648e+00 -4.7274e+00 -3.2170e+00 +7.5170e-01 +8.8589e-01 +9.3653e-01 +4.2353e+00 +1.2833e+00 +1.8478e+00
204 +5.697399753e+01 +5.697399753e+01 +4.003399753e+01 +4.003399753e+01 -1.5671e+00 +2.3360e+00 -1.0654e+00 -2.9081e+00 +2.1039e+00 +4.8134e+00 +1.7508e+00 -4.5823e+00 -3.8470e+00 -3.5131e+00 -3.7340e-01 +1.6656e+00 -2.2873e+00 -3.9326e+00 -2.9465e+00 +1.3344e+00 +1.8120e+00 +3.3006e+00 +3.0344e+00 -9.6498e-01
815 +3.157186834e+01 +3.157186834e+01 +1.463186834e+01 +1.463186834e+01 +3.4319e+00 +3.4976e+00 -4.0624e+00 +4.7829e+00 +2.5188e+00 -2.5531e+00 +2.2097e+00 -3.2065e+00 -3.2731e+00 -1.4632e+00 +3.2543e+00 -1.2032e+00 -3.6630e+00 -7.0923e-01 +4.1542e+00 +3.2902e+00 +2.7909e+00 -1.2306e+00 -5.4808e-01 -1.6908e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.620434668e+01 +5.620434668e+01 +7.501434668e+01 +7.501434668e+01 +1.0665e+00 +4.5820e-02 +4.2267e+00 -4.7038e+00 +4.2269e+00 -3.7329e+00 +2.5138e+00 -2.2193e+00 -2.9590e-01 +2.5308e+00 -1.5189e-01 +2.8287e-01 +8.1633e-01 -3.0904e+00 -9.9365e-01 -3.1861e+00 -7.0926e-01 +2.9857e+00 +1.9918e+00 +3.4325e+00
1789 +3.513513200e+01 +3.513513200e+01 +5.394513200e+01 +5.394513200e+01 -1.3097e+00 +3.1149e+00 +4.0704e+00 -2.0154e+00 +2.5005e+00 -3.8892e+00 -1.4197e+00 +2.3928e+00 +1.5062e+00 +3.7405e+00 -3.9985e+00 +4.8355e+00 +1.8883e+00 +1.1789e+00 +3.0863e+00 +2.9825e-01 -1.8398e+00 +4.8790e+00 -1.2899e+00 +9.9943e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.506538141e+02 +7.506538141e+02 +1.023803814e+03 +1.023803814e+03 -1.3277e+00 +2.9839e+00 -9.0590e-01 +1.0737e+00 +1.6069e+00 +1.5643e+00 +4.5214e+00 -9.8195e-01 +1.6221e+00 +2.8049e+00 -4.3985e+00 -4.5002e+00 +2.8687e+00 -2.8830e+00 +7.7271e-01 +4.8255e+00 -2.4348e+00 -5.9292e-01 -1.9073e+00 +4.8768e+00
2 +3.871686365e+02 +3.871686365e+02 +6.603186365e+02 +6.603186365e+02 +1.6778e+00 -4.2357e+00 +4.6981e+00 +1.7127e+00 -3.1879e+00 +1.7965e+00 -1.3405e+00 -1.6669e+00 +1.8732e+00 +2.9334e+00 -4.3397e-01 +4.9929e-02 +4.9496e+00 -3.3291e+00 -3.2376e+00 -4.9970e+00 -1.5197e+00 +4.9525e+00 -4.9375e-01 +4.5928e+00
4 +1.363045929e+02 +1.363045929e+02 +4.094545929e+02 +4.094545929e+02 -4.6106e+00 +2.6991e+00 +2.6318e+00 -3.9538e+00 +9.0848e-01 -3.1279e-01 -1.8900e+00 -2.1819e+00 -2.7181e-01 +3.1890e+00 +2.5987e-01 -7.8886e-01 -4.3482e+00 -8.2834e-01 -1.4325e+00 +1.2571e+00 +1.3565e-01 +3.2371e+00 -4.7173e+00 +3.6470e+00
