% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.060336416e+05 +6.060336416e+05 +6.061574716e+05 +6.061574716e+05 +2.1726e+00 +2.5061e+00 -2.5858e+00 +4.3774e+00 +1.3345e+00 -3.1037e+00 +4.2695e-01 +1.3486e+00 +3.2840e+00 +2.9782e+00 +3.0509e+00 -4.1591e+00 +4.0007e+00 +4.6416e+00 -1.2236e+00 -4.9069e+00 -8.8005e-01 -7.6883e-02 -3.4244e+00 -1.7667e+00
2 +1.727248230e+05 +1.727248230e+05 +1.728486530e+05 +1.728486530e+05 +1.0217e+00 +3.0992e+00 -2.3278e+00 +2.9640e+00 +2.2316e+00 +1.6729e+00 +2.1333e+00 -1.7748e+00 -1.9490e+00 -2.1107e+00 +4.0221e+00 +3.5425e+00 +1.5697e+00 -4.4081e+00 -1.6904e+00 +1.6847e+00 -1.0853e+00 -3.6119e+00 +2.9799e-02 +6.1067e-01
6 +9.079542327e+04 +9.079542327e+04 +9.091925327e+04 +9.091925327e+04 -1.6834e+00 -7.5791e-01 -2.3072e+00 -2.0125e+00 -1.0915e+00 -1.2815e+00 +5.5428e-01 -4.3836e-01 +3.2585e+00 -4.1031e+00 +7.2592e-01 +2.8503e+00 -8.5801e-01 -7.5896e-01 -8.8528e-01 -6.4154e-01 +1.2522e+00 -2.9224e+00 +1.9162e+00 -1.9298e+00
1729 +5.907436876e+04 +5.907436876e+04 +5.919819876e+04 +5.919819876e+04 +7.3479e-01 -6.3991e-01 +8.0391e-01 +8.5039e-02 -4.5672e+00 -6.7755e-01 +1.0782e+00 +1.3202e+00 -1.7482e+00 +1.7782e+00 -1.4893e+00 -3.3194e+00 -4.7853e+00 +3.2711e-02 +4.5690e+00 -1.6326e+00 +1.0624e+00 +6.1628e-01 -2.4961e-01 -7.4553e-01
4454 +3.645566806e+04 +3.645566806e+04 +3.657949806e+04 +3.657949806e+04 +4.7104e+00 +2.8964e+00 +1.8899e+00 +1.3073e+00 -7.8112e-01 -3.7527e-01 +1.3744e+00 -1.7225e+00 -2.6997e+00 -1.0009e+00 -3.8822e+00 -4.2889e-01 +7.7350e-01 -1.0689e+00 -2.4022e+00 -3.0709e+00 -2.5252e+00 +7.2869e-02 +2.3786e+00 -2.1949e+00
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.660312920e+05 +5.660312920e+05 +5.660788020e+05 +5.660788020e+05 +4.0911e+00 -1.8236e+00 +4.6131e+00 +3.0330e+00 +2.2635e+00 +4.3919e-01 -2.5632e-01 +3.6498e+00 -1.7143e+00 +2.2182e+00 -2.5523e+00 +3.8656e+00 -2.3998e+00 +4.6979e+00 +9.3676e-01 -3.7494e+00 -7.9129e-01 -1.0917e+00 +4.9586e+00 +2.7382e+00
2 +7.484261860e+04 +7.484261860e+04 +7.489012860e+04 +7.489012860e+04 +3.4980e+00 +2.8828e-01 +6.2441e-01 +1.3957e+00 -3.1487e+00 +2.5796e+00 -1.1405e+00 +1.1296e+00 +1.6365e+00 +4.9246e-02 +4.0789e-01 -3.2166e+00 +3.0972e+00 -4.5681e-01 -3.3884e+00 -9.0361e-01 -1.5538e+00 -1.0866e+00 +1.9312e+00 -2.1627e+00
193 +5.070622404e+04 +5.070622404e+04 +5.075373404e+04 +5.075373404e+04 +2.0505e+00 -3.3622e+00 +1.0281e+00 +1.6937e-01 -2.6265e+00 -2.6785e+00 +1.0029e+00 -1.7240e+00 +4.7472e+00 -3.5019e+00 +3.9487e+00 +2.0207e-01 -3.5740e+00 +9.6448e-01 +9.7157e-01 -1.4681e+00 +9.0298e-01 +1.7500e+00 -7.9032e-02 -8.7995e-01
% function evaluation | noise-free fitness - Fopt (5.534000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.326163711e+05 +4.326163711e+05 +4.326717111e+05 +4.326717111e+05 +1.1287e+00 +1.7942e+00 +4.3290e+00 +7.0769e-01 +4.9593e+00 -3.0895e+00 +2.2403e+00 +4.6666e+00 +9.9532e-01 +2.7113e+00 -3.4224e+00 +1.6649e+00 -1.7073e+00 -3.1220e+00 -4.4900e+00 -1.3057e+00 +1.1089e+00 -4.5572e+00 +9.5821e-01 -3.8720e+00
2 +1.949972197e+05 +1.949972197e+05 +1.950525597e+05 +1.950525597e+05 -4.1963e+00 +1.7033e+00 -2.3245e+00 +2.4661e+00 -9.7480e-01 +4.7776e+00 -1.9044e+00 +2.5224e+00 -4.6327e+00 -7.2377e-01 -3.0635e+00 -2.7469e+00 +3.4767e+00 -4.5830e+00 +1.6447e+00 -7.3029e-01 +4.1414e+00 -2.1663e+00 +2.0886e+00 -3.3493e+00
